travel,travel,beginner,travel
trip,travel,beginner,trip
holiday,travel,beginner,holiday
vacation,travel,beginner,vacation
tour,travel,beginner,tour
ticket,travel,beginner,ticket
passport,travel,beginner,passport
visa,travel,beginner,visa
airport,travel,beginner,airport
plane,travel,beginner,plane
train,travel,beginner,train
bus,travel,beginner,bus
taxi,travel,beginner,taxi
car,travel,beginner,car
hotel,travel,beginner,hotel
hostel,travel,beginner,hostel
room,travel,beginner,room
key,travel,beginner,key
bag,travel,beginner,bag
suitcase,travel,beginner,suitcase
luggage,travel,beginner,luggage
backpack,travel,beginner,backpack
map,travel,beginner,map
guide,travel,beginner,guide
city,travel,beginner,city
town,travel,beginner,town
village,travel,beginner,village
street,travel,beginner,street
road,travel,beginner,road
park,travel,beginner,park
beach,travel,beginner,beach
sea,travel,beginner,sea
lake,travel,beginner,lake
river,travel,beginner,river
mountain,travel,beginner,mountain
island,travel,beginner,island
restaurant,travel,beginner,restaurant
café,travel,beginner,café
food,travel,beginner,food
drink,travel,beginner,drink
water,travel,beginner,water
breakfast,travel,beginner,breakfast
lunch,travel,beginner,lunch
dinner,travel,beginner,dinner
menu,travel,beginner,menu
order,travel,beginner,order
bill,travel,beginner,bill
price,travel,beginner,price
cheap,travel,beginner,cheap
expensive,travel,beginner,expensive
shop,travel,beginner,shop
market,travel,beginner,market
souvenir,travel,beginner,souvenir
photo,travel,beginner,photo
camera,travel,beginner,camera
phone,travel,beginner,phone
check-in,travel,beginner,check-in
check-out,travel,beginner,check-out
arrival,travel,beginner,arrival
departure,travel,beginner,departure
today,travel,beginner,today
tomorrow,travel,beginner,tomorrow
night,travel,beginner,night
open,travel,beginner,open
closed,travel,beginner,closed
near,travel,beginner,near
far,travel,beginner,far
left,travel,beginner,left
right,travel,beginner,right
help,travel,beginner,help
police,travel,beginner,police
hospital,travel,beginner,hospital
safe,travel,beginner,safe
problem,travel,beginner,problem
tourist,travel,beginner,tourist
local,travel,beginner,local
money,travel,beginner,money
cash,travel,beginner,cash
card,travel,beginner,card
weather,travel,beginner,weather
sun,travel,beginner,sun
rain,travel,beginner,rain
tired,travel,beginner,tired
happy,travel,beginner,happy
lost,travel,beginner,lost
journey,travel,elementary,journey
destination,travel,elementary,destination
route,travel,elementary,route
stop,travel,elementary,stop
booking,travel,elementary,booking
reservation,travel,elementary,reservation
confirmation,travel,elementary,confirmation
terminal,travel,elementary,terminal
gate,travel,elementary,gate
luggage claim,travel,elementary,luggage_claim
ferry,travel,elementary,ferry
subway,travel,elementary,subway
tram,travel,elementary,tram
station,travel,elementary,station
platform,travel,elementary,platform
guesthouse,travel,elementary,guesthouse
apartment,travel,elementary,apartment
reception,travel,elementary,reception
lobby,travel,elementary,lobby
bathroom,travel,elementary,bathroom
shower,travel,elementary,shower
towel,travel,elementary,towel
carry-on,travel,elementary,carry-on
travel bag,travel,elementary,travel_bag
navigation,travel,elementary,navigation
direction,travel,elementary,direction
distance,travel,elementary,distance
city center,travel,elementary,city_center
old town,travel,elementary,old_town
coast,travel,elementary,coast
countryside,travel,elementary,countryside
forest,travel,elementary,forest
desert,travel,elementary,desert
monument,travel,elementary,monument
museum,travel,elementary,museum
castle,travel,elementary,castle
palace,travel,elementary,palace
historical site,travel,elementary,historical_site
landmark,travel,elementary,landmark
street food,travel,elementary,street_food
local food,travel,elementary,local_food
traditional dish,travel,elementary,traditional_dish
waiter,travel,elementary,waiter
waitress,travel,elementary,waitress
service,travel,elementary,service
tip,travel,elementary,tip
currency,travel,elementary,currency
exchange,travel,elementary,exchange
budget,travel,elementary,budget
cost,travel,elementary,cost
discount,travel,elementary,discount
receipt,travel,elementary,receipt
traffic,travel,elementary,traffic
crossing,travel,elementary,crossing
sidewalk,travel,elementary,sidewalk
public transport,travel,elementary,public_transport
festival,travel,elementary,festival
event,travel,elementary,event
concert,travel,elementary,concert
culture,travel,elementary,culture
tradition,travel,elementary,tradition
custom,travel,elementary,custom
guidebook,travel,elementary,guidebook
brochure,travel,elementary,brochure
insurance,travel,elementary,insurance
emergency,travel,elementary,emergency
first aid,travel,elementary,first aid
pharmacy,travel,elementary,pharmacy
doctor,travel,elementary,doctor
get lost,travel,elementary,get lost
find,travel,elementary,find
search,travel,elementary,search
explore,travel,elementary,explore
queue,travel,elementary,queue
crowd,travel,elementary,crowd
schedule,travel,elementary,schedule
timetable,travel,elementary,timetable
early,travel,elementary,early
late,travel,elementary,late
itinerary,travel,intermediate,itinerary
sightseeing,travel,intermediate,sightseeing
excursion,travel,intermediate,excursion
layover,travel,intermediate,layover
transit,travel,intermediate,transit
boarding pass,travel,intermediate,boarding_pass
overbooking,travel,intermediate,overbooking
delay,travel,intermediate,delay
cancellation,travel,intermediate,cancellation
luggage allowance,travel,intermediate,luggage_allowance
