word	level
Stand	beginner
Sit	beginner
Walk	beginner
Run	beginner
Jump	beginner
Lie	beginner
Kneel	beginner
Bend	beginner
Stretch	beginner
Turn	beginner
Fall	beginner
Rise	beginner
Crawl	beginner
Climb	beginner
Balance	beginner
Lean	beginner
Spin	beginner
Step	beginner
Tiptoe	elementary
March	elementary
Hop	elementary
Skip	elementary
Slide	elementary
Roll	elementary
Shake	elementary
Nod	elementary
Bow	elementary
Wave	elementary
Squat	elementary
Lunge	elementary
Pace	elementary
Stride	elementary
Stumble	elementary
Crouch	intermediate
Slouch	intermediate
Slip	intermediate
Trip	intermediate
Jog	intermediate
Vault	intermediate
Leap	intermediate
Somersault	intermediate
Cartwheel	intermediate
Sidestep	intermediate
Recoil	intermediate
Brace	intermediate
Freeze	intermediate
Hold	beginner
Grab	beginner
Touch	beginner
Push	beginner
Pull	beginner
Lift	beginner
Carry	beginner
Drop	beginner
Throw	beginner
Catch	beginner
Give	beginner
Take	beginner
Open	beginner
Close	beginner
Cut	beginner
Break	beginner
Fix	beginner
Point	beginner
Clap	beginner
Press	elementary
Squeeze	elementary
Fold	elementary
Unfold	elementary
Wrap	elementary
Unwrap	elementary
Tie	elementary
Untie	elementary
Insert	beginner
Remove	beginner
Place	elementary
Stack	elementary
Button	elementary
Zip	elementary
Unzip	elementary
Lock	elementary
Unlock	elementary
Plug	elementary
Unplug	elementary
Switchon	elementary
Switchoff	elementary
Pour	elementary
Spill	elementary
Stir	elementary
Mix	elementary
Wipe	elementary
Polish	intermediate
Sharpen	elementary
Trim	elementary
Pinch	intermediate
Grip	intermediate
Release	intermediate
Tap	intermediate
Poke	intermediate
Scratch	intermediate
Rub	intermediate
Slice	intermediate
Chop	intermediate
Dice	intermediate
Mince	intermediate
Carve	intermediate
Tighten	intermediate
Loosen	intermediate
Align	intermediate
Measure	intermediate
Weigh	intermediate
Assemble	intermediate
Disassemble	intermediate
Attach	intermediate
Detach	intermediate
Seal	intermediate
Label	intermediate
Erase	intermediate
Trace	intermediate
Turnon	beginner
Turnoff	beginner
Put	beginner
Takeoff	beginner
Eat	beginner
Drink	beginner
Wash	beginner
Dry	beginner
Fill	beginner
Empty	beginner
Build	beginner
Bake	elementary
Fry	elementary
Boil	elementary
Hang	elementary
Load	elementary
Unload	elementary
Sweep	elementary
Mop	elementary
Vacuum	elementary
Water	elementary
Plant	elementary
Light	elementary
Extinguish	elementary
Store	elementary
Knead	intermediate
Whisk	intermediate
Grate	intermediate
Shred	intermediate
Drain	intermediate
Strain	intermediate
Serve	intermediate
Plate	intermediate
Reheat	intermediate
Defrost	intermediate
Core	intermediate
Debone	intermediate
Fillet	intermediate
Garnish	intermediate
Wake	beginner
Sleep	beginner
Rest	beginner
Dressup	beginner
Undress	beginner
Shower	beginner
Bathe	beginner
Brushteeth	beginner
Combhair	beginner
Shave	beginner
Make the bed	beginner
Openblinds	beginner
Closeblinds	beginner
Leave home	beginner
Arrive home	beginner
Getready	elementary
Unpackbag	elementary
Checktime	elementary
Makecoffee	elementary
Preparemeal	elementary
Settable	elementary
Washdishes	elementary
Drydishes	elementary
Foldclothes	elementary
Hangclothes	elementary
Changeclothes	elementary
Lockdoor	elementary
Organize closet	intermediate
Prepareoutfit	intermediate
Ironclothes	intermediate
Polishshoes	intermediate
Adjustthermostat	intermediate
Winddown	intermediate
Cookmeal	beginner
Sweeproom	beginner
Vacuum floor	beginner
Dust furniture	beginner
Washclothes	beginner
Dryclothes	beginner
Empty bin	beginner
Carry trash	beginner
Organizeshelf	elementary
Loadwasher	elementary
Unloadwasher	elementary
Cleanstove	elementary
Clean window	elementary
Organizepantry	intermediate
Replace light bulb	intermediate
Attend class	beginner
Raisearm	beginner
Sharpenpencil	beginner
Cutpaper	beginner
Gluepaper	beginner
Preparelesson	elementary
Highlighttext	elementary
Draw diagram	elementary
Presentposter	elementary
Erase board	elementary
Arrangeseats	elementary
Collectassignments	elementary
Signform	elementary
Schedule meeting	elementary
Join meeting	elementary
Leave meeting	elementary
Draftoutline	intermediate
Annotatedocument	intermediate
Proofreadtext	intermediate
Compilematerials	intermediate
Configure workspace	intermediate
Manage calendar	intermediate
Secure workstation	intermediate
