word	level
Chair	beginner
Table	beginner
Bed	beginner
Lamp	beginner
Door	beginner
Window	beginner
Mirror	beginner
Clock	beginner
Tv	beginner
Rug	beginner
Shelf	beginner
Pillow	beginner
Blanket	beginner
Drawer	beginner
Cup	beginner
Plate	beginner
Fork	beginner
Spoon	beginner
Knife	beginner
Pan	beginner
Pot	beginner
Sink	beginner
Tap	beginner
Shower	beginner
Towel	beginner
Soap	beginner
Bucket	beginner
Broom	beginner
Armchair	elementary
Stool	elementary
Cabinet	elementary
Wardrobe	elementary
Nightstand	elementary
Bookshelf	elementary
Curtain	elementary
Blinds	elementary
Ceiling	elementary
Fan	elementary
Remote	elementary
Speaker	elementary
Microwave	elementary
Oven	elementary
Toaster	elementary
Kettle	elementary
Fridge	elementary
Freezer	elementary
Dishwasher	elementary
Washing machine	elementary
Dryer	elementary
Iron	elementary
Ironing board	elementary
Vacuum	elementary
Mop	beginner
Doormat	elementary
Hanger	elementary
Laundrybasket	elementary
Trashcan	beginner
Headboard	intermediate
Footstool	intermediate
Sideboard	intermediate
Cupboard	intermediate
Cooktop	intermediate
Cutting board	intermediate
Utensil holder	intermediate
Soapdispenser	intermediate
Toothbrush holder	intermediate
Showerhead	intermediate
Bathmat	intermediate
Toilet paper holder	intermediate
Airpurifier	intermediate
Humidifier	intermediate
Dehumidifier	intermediate
Extensioncord	elementary
Light bulb	intermediate
Lampshade	intermediate
Pictureframe	intermediate
Wall clock	intermediate
Thermostat	intermediate
Heater	intermediate
Vent	intermediate
Shirt	beginner
Tshirt	beginner
Pants	beginner
Skirt	beginner
Dress	beginner
Jacket	beginner
Coat	beginner
Shoes	beginner
Sneakers	beginner
Boots	beginner
Sandals	beginner
Socks	beginner
Hat	beginner
Cap	beginner
Belt	beginner
Bag	beginner
Backpack	beginner
Scarf	beginner
Sweater	elementary
Hoodie	elementary
Tights	elementary
Tracksuit	elementary
Swimsuit	elementary
Underwear	elementary
Bra	elementary
Pajamas	elementary
Raincoat	elementary
Slippers	elementary
Wallet	beginner
Purse	elementary
Watch	beginner
Sunglasses	elementary
Turtleneck	intermediate
Windbreaker	intermediate
Overcoat	intermediate
Waistcoat	intermediate
Overalls	intermediate
Nightgown	intermediate
Bathrobe	intermediate
Sportswear	intermediate
Activewear	intermediate
Ankleboots	intermediate
Highheels	intermediate
Clutch	intermediate
Briefcase	intermediate
Earrings	intermediate
Necklace	intermediate
Bracelet	intermediate
Phone	beginner
Keys	beginner
Glasses	beginner
Notebook	beginner
Pen	beginner
Pencil	beginner
Book	beginner
Comb	beginner
Brush	beginner
Tissue	beginner
Bottle	beginner
Umbrella	beginner
Coin	beginner
Card	beginner
Charger	beginner
Earphones	beginner
Headphones	elementary
Keychain	elementary
Lipstick	elementary
Perfume	elementary
Handcream	elementary
Toothpaste	elementary
Toothbrush	elementary
Razor	elementary
Conditioner	elementary
Soapbar	elementary
Mirror compact	elementary
Hairdryer	elementary
Makeupbag	elementary
Passport	elementary
ID card	elementary
