word	level
Apple	beginner
Lemon	beginner
Grape	beginner
Strawberry	beginner
Watermelon	beginner
Pear	beginner
Plum	beginner
Peach	beginner
Cherry	beginner
Applejuice	beginner
Orangejuice	beginner
Carrot	beginner
Tomato	beginner
Potato	beginner
Onion	beginner
Cucumber	beginner
Pepper	beginner
Corn	beginner
Peas	beginner
Beans	beginner
Cabbage	beginner
Lettuce	beginner
Bread	beginner
Breadroll	beginner
Rice	beginner
Soup	beginner
Egg	beginner
Milk	beginner
Cheese	beginner
Butter	beginner
Water	beginner
Coffee	beginner
Tea	beginner
Sugar	beginner
Oil	beginner
Ice	beginner
Glass	beginner
Cup	beginner
Plate	beginner
Bowl	beginner
Fork	beginner
Spoon	beginner
Knife	beginner
Pineapple	elementary
Blueberry	elementary
Raspberry	elementary
Blackberry	elementary
Mushroom	elementary
Garlic	elementary
Pumpkin	elementary
Radish	elementary
Turnip	elementary
Celery	elementary
Bun	elementary
Cake	elementary
Cookie	elementary
Chicken	elementary
Beef	elementary
Fish	elementary
Shrimp	elementary
Meatball	elementary
Meatloaf	elementary
Yogurt	elementary
Cream	elementary
Icecream	elementary
Mustard	elementary
Honey	elementary
Jam	elementary
Chocolate	elementary
Frenchfries	elementary
Cereal	elementary
Buttermilk	elementary
Soybean	elementary
Lentils	elementary
Peasoup	elementary
Tomatosauce	elementary
Noodlesoup	elementary
Cranberry	intermediate
Fig	intermediate
Date	intermediate
Apricot	intermediate
Pomegranate	intermediate
Eggplant	intermediate
Asparagus	intermediate
Cauliflower	intermediate
Spinach	intermediate
Artichoke	intermediate
Leek	intermediate
Salmon	intermediate
Tuna	intermediate
Sausage	intermediate
Omelet	intermediate
Pancake	intermediate
Waffle	intermediate
Vinegar	intermediate
Soysauce	intermediate
Oliveoil	intermediate
Sesameoil	intermediate
Sparklingwater	intermediate
Herb	intermediate
Spice	intermediate
Flour	intermediate
Dough	intermediate
Flatbread	intermediate
Wrap	intermediate
Dumpling	intermediate
Seaweed	intermediate
Pickles	intermediate
Sauerkraut	intermediate
Breadcrumbs	intermediate
Oatmeal	intermediate
Peanutbutter	intermediate
Almonds	intermediate
Cashews	intermediate
Walnuts	intermediate
Hazelnuts	intermediate
Sunflowerseeds	intermediate
Pumpkinseeds	intermediate
Raisins	intermediate
Driedapricots	intermediate
Coconut	intermediate
Coconutmilk	intermediate
Currypowder	intermediate
Paprikapowder	intermediate
Cinnamon	intermediate
Ginger	intermediate
Garlicpowder	intermediate
Onionpowder	intermediate
Vanilla	intermediate
Yeast	intermediate
Bakingpowder	intermediate
Cornstarch	intermediate
Broth	intermediate
Stock	intermediate
Noodles	intermediate
Coleslaw	intermediate
Potato salad	intermediate
Pasta salad	intermediate
Fruit salad	intermediate
Bean salad	intermediate
Ricecake	intermediate
Custard	intermediate
Trifle	intermediate
Shortbread	intermediate
Crackers	intermediate
